db_id,target_table,target_total,realized_total,shortfall_total,overall_fulfillment_rate,requested_strategy_count,requested_strategies,feasible_strategy_count,shortfall_strategies,shortfall_reasons,report_path
address,zip_data,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,,,data/bird/qa/flexbench/address/generation_report.json
airline,airports,50,13,37,0.26,4,"0E,1pE,1pH,1pM",4,"1pE,1pH,1pM",sparse_combinations:37,data/bird/qa/flexbench/airline/generation_report.json
app_store,user_reviews,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/app_store/generation_report.json
authors,conference,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/bird/qa/flexbench/authors/generation_report.json
beer_factory,location,50,38,12,0.76,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM",11,"3iE,3iH,3iM",sparse_combinations:12,data/bird/qa/flexbench/beer_factory/generation_report.json
book_publishing_company,publishers,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",14,,,data/bird/qa/flexbench/book_publishing_company/generation_report.json
books,country,50,50,0,1.0,3,"0E,1pE,1pM",3,,,data/bird/qa/flexbench/books/generation_report.json
california_schools,schools,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/california_schools/generation_report.json
car_retails,customers,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",18,,,data/bird/qa/flexbench/car_retails/generation_report.json
card_games,cards,50,50,0,1.0,3,"0E,0H,0M",3,,,data/bird/qa/flexbench/card_games/generation_report.json
cars,price,50,50,0,1.0,10,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",10,,,data/bird/qa/flexbench/cars/generation_report.json
chicago_crime,community_area,50,33,17,0.66,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",11,"0M,2iE,2iH,2iM",sparse_combinations:12; insufficient_filter_columns:5,data/bird/qa/flexbench/chicago_crime/generation_report.json
citeseer,paper,50,0,50,0.0,2,"0E,1pE",2,"0E,1pE",result_size_out_of_range:50,data/bird/qa/flexbench/citeseer/generation_report.json
codebase_comments,method,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/codebase_comments/generation_report.json
codebase_community,users,50,36,14,0.72,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,"3iE,3iH,3iM,3pH,4iE,4iH,4iM",sparse_combinations:12; generation_exception:2,data/bird/qa/flexbench/codebase_community/generation_report.json
college_completion,institution_details,50,14,36,0.28,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,"1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",sparse_combinations:36,data/bird/qa/flexbench/college_completion/generation_report.json
computer_student,person,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/bird/qa/flexbench/computer_student/generation_report.json
cookbook,recipe,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/bird/qa/flexbench/cookbook/generation_report.json
craftbeer,beers,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/craftbeer/generation_report.json
cs_semester,student,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/bird/qa/flexbench/cs_semester/generation_report.json
debit_card_specializing,yearmonth,50,50,0,1.0,1,0E,1,,,data/bird/qa/flexbench/debit_card_specializing/generation_report.json
disney,characters,50,20,30,0.4,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM",11,"1pH,1pM,2iH,2iM,3iE,3iH,3iM",qa_validation_failed:18; sparse_combinations:12,data/bird/qa/flexbench/disney/generation_report.json
donor,projects,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/donor/generation_report.json
european_football_1,divisions,50,50,0,1.0,4,"0E,1pE,1pH,1pM",4,,,data/bird/qa/flexbench/european_football_1/generation_report.json
financial,account,50,50,0,1.0,16,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",16,,,data/bird/qa/flexbench/financial/generation_report.json
food_inspection,businesses,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/food_inspection/generation_report.json
food_inspection_2,employee,50,29,21,0.58,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,"1pH,1pM,2pH,2pM",generation_exception:21,data/bird/qa/flexbench/food_inspection_2/generation_report.json
formula_1,races,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/bird/qa/flexbench/formula_1/generation_report.json
genes,classification,50,48,2,0.96,7,"0E,1pE,1pH,1pM,2iE,2iH,2iM",7,0E,result_size_out_of_range:2,data/bird/qa/flexbench/genes/generation_report.json
hockey,master,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,,,data/bird/qa/flexbench/hockey/generation_report.json
human_resources,location,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/bird/qa/flexbench/human_resources/generation_report.json
ice_hockey_draft,height_info,50,50,0,1.0,7,"0E,1pE,1pH,1pM,2pE,2pH,2pM",7,,,data/bird/qa/flexbench/ice_hockey_draft/generation_report.json
image_and_language,obj_classes,50,17,33,0.34,3,"0E,1pE,1pM",3,"1pE,1pM",sparse_combinations:33,data/bird/qa/flexbench/image_and_language/generation_report.json
law_episode,episode,50,50,0,1.0,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,,,data/bird/qa/flexbench/law_episode/generation_report.json
legislator,current,50,0,50,0.0,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",0,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",pattern_infeasible:50,data/bird/qa/flexbench/legislator/generation_report.json
mental_health_survey,answer,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/mental_health_survey/generation_report.json
menu,menu,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/bird/qa/flexbench/menu/generation_report.json
mondial_geo,ismember,50,50,0,1.0,1,0E,1,,,data/bird/qa/flexbench/mondial_geo/generation_report.json
movie,actor,50,48,2,0.96,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,1pH,insufficient_filter_columns:2,data/bird/qa/flexbench/movie/generation_report.json
movie_3,payment,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/movie_3/generation_report.json
movie_platform,lists,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/bird/qa/flexbench/movie_platform/generation_report.json
movielens,u2base,50,50,0,1.0,1,0E,1,,,data/bird/qa/flexbench/movielens/generation_report.json
movies_4,movie,50,50,0,1.0,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,,,data/bird/qa/flexbench/movies_4/generation_report.json
music_tracker,torrents,50,50,0,1.0,3,"0E,0H,0M",3,,,data/bird/qa/flexbench/music_tracker/generation_report.json
olympics,games,50,50,0,1.0,12,"0E,0M,1pE,1pM,2iE,2iM,2pE,2pH,2pM,3pE,3pH,3pM",12,,,data/bird/qa/flexbench/olympics/generation_report.json
professional_basketball,players,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/professional_basketball/generation_report.json
public_review_platform,reviews,50,0,50,0.0,2,"0E,0M",2,"0E,0M",result_size_out_of_range:50,data/bird/qa/flexbench/public_review_platform/generation_report.json
restaurant,geographic,50,50,0,1.0,9,"0E,1pE,1pM,2iE,2iH,2iM,2pE,2pH,2pM",9,,,data/bird/qa/flexbench/restaurant/generation_report.json
retail_complains,district,50,50,0,1.0,9,"0E,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM",9,,,data/bird/qa/flexbench/retail_complains/generation_report.json
retail_world,categories,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/bird/qa/flexbench/retail_world/generation_report.json
sales,employees,50,15,35,0.3,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"1pE,1pM,2pE,2pH,2pM",sparse_combinations:35,data/bird/qa/flexbench/sales/generation_report.json
sales_in_weather,sales_in_weather,50,0,50,0.0,5,"0E,1pE,2pE,2pH,2pM",5,"0E,1pE,2pE,2pH,2pM",sparse_combinations:40; result_size_out_of_range:10,data/bird/qa/flexbench/sales_in_weather/generation_report.json
shakespeare,paragraphs,50,50,0,1.0,1,0E,1,,,data/bird/qa/flexbench/shakespeare/generation_report.json
shipping,customer,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/bird/qa/flexbench/shipping/generation_report.json
shooting,incidents,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/shooting/generation_report.json
simpson_episodes,episode,50,50,0,1.0,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,,,data/bird/qa/flexbench/simpson_episodes/generation_report.json
soccer_2016,match,50,33,17,0.66,18,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",18,"3iE,3iH,3iM,3pH,4iE,4iH,4iM",sparse_combinations:14; generation_exception:3,data/bird/qa/flexbench/soccer_2016/generation_report.json
social_media,location,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/bird/qa/flexbench/social_media/generation_report.json
software_company,sales,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/software_company/generation_report.json
student_club,member,50,50,0,1.0,15,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",15,,,data/bird/qa/flexbench/student_club/generation_report.json
student_loan,person,50,50,0,1.0,1,1pE,1,,,data/bird/qa/flexbench/student_loan/generation_report.json
superhero,superhero,50,50,0,1.0,13,"0E,0M,1pE,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",13,,,data/bird/qa/flexbench/superhero/generation_report.json
superstore,west_superstore,50,0,50,0.0,2,"0E,0M",2,"0E,0M",other:25; result_size_out_of_range:25,data/bird/qa/flexbench/superstore/generation_report.json
synthea,patients,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,,,data/bird/qa/flexbench/synthea/generation_report.json
talkingdata,app_all,50,14,36,0.28,7,"1pE,2iE,2pE,2pM,3pE,3pH,3pM",7,"1pE,2iE,3pE,3pH,3pM",sparse_combinations:21; result_size_out_of_range:15,data/bird/qa/flexbench/talkingdata/generation_report.json
thrombosis_prediction,patient,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM",8,,,data/bird/qa/flexbench/thrombosis_prediction/generation_report.json
toxicology,molecule,50,37,13,0.74,4,"0E,1pE,2iE,2iM",4,0E,result_size_out_of_range:13,data/bird/qa/flexbench/toxicology/generation_report.json
trains,trains,50,39,11,0.78,4,"0E,1pE,1pH,1pM",4,0E,duplicate_pair:11,data/bird/qa/flexbench/trains/generation_report.json
university,university,50,50,0,1.0,8,"0E,1pE,2iE,2iH,2iM,3iE,3iH,3iM",8,,,data/bird/qa/flexbench/university/generation_report.json
video_games,genre,50,37,13,0.74,2,"0E,1pE",2,0E,duplicate_pair:13,data/bird/qa/flexbench/video_games/generation_report.json
works_cycles,product,50,50,0,1.0,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,,,data/bird/qa/flexbench/works_cycles/generation_report.json
world,country,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/world/generation_report.json
